                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0767,                 1.1775,                 1.1677,                0.50534,                0.52536,                0.52274,                0.41878,                 1.1021,                0.99141,                 1.1413,               0.006733,               0.006733,               0.006733
                     35,                 1.0744,                 1.1588,                 1.1653,                0.51123,                0.51601,                0.52356,                0.41998,                 1.1046,                0.99354,                 1.1438,               0.006634,               0.006634,               0.006634
                     36,                 1.0711,                 1.1475,                 1.1615,                0.56021,                0.51968,                0.55085,                0.44384,                 1.0976,                0.97553,                 1.1384,               0.006535,               0.006535,               0.006535
                     37,                 1.0688,                 1.1411,                 1.1605,                0.55241,                0.54491,                0.54891,                0.44234,                  1.099,                0.96558,                 1.1383,               0.006436,               0.006436,               0.006436
                     38,                 1.0599,                 1.1112,                 1.1574,                0.53679,                  0.549,                0.55403,                0.44541,                 1.0931,                0.96122,                 1.1397,               0.006337,               0.006337,               0.006337
                     39,                 1.0512,                    1.1,                 1.1539,                0.58694,                0.52968,                0.57194,                0.46134,                 1.0945,                0.94789,                 1.1375,               0.006238,               0.006238,               0.006238
                     40,                 1.0457,                 1.0859,                 1.1493,                0.55803,                0.55322,                0.57429,                0.46729,                 1.0929,                0.95091,                 1.1375,               0.006139,               0.006139,               0.006139
                     41,                 1.0434,                 1.0793,                 1.1495,                0.57521,                0.56213,                0.57975,                0.47193,                 1.0926,                0.94006,                 1.1373,                0.00604,                0.00604,                0.00604
                     42,                 1.0416,                 1.0534,                 1.1465,                0.60373,                0.53217,                0.58732,                0.47814,                 1.0868,                0.93295,                  1.137,               0.005941,               0.005941,               0.005941
                     43,                 1.0398,                 1.0487,                 1.1457,                0.59437,                0.54387,                0.58256,                0.47851,                 1.0823,                0.91927,                 1.1302,               0.005842,               0.005842,               0.005842
                     44,                 1.0289,                 1.0374,                 1.1405,                0.63674,                0.53168,                  0.595,                0.48777,                  1.088,                0.91579,                 1.1339,               0.005743,               0.005743,               0.005743
                     45,                 1.0394,                  1.032,                 1.1392,                 0.6123,                0.56702,                0.60859,                0.49497,                 1.0816,                0.91279,                 1.1318,               0.005644,               0.005644,               0.005644
                     46,                 1.0266,                 1.0093,                 1.1321,                0.64832,                0.53552,                0.60135,                0.49059,                 1.0796,                0.91008,                 1.1286,               0.005545,               0.005545,               0.005545
                     47,                 1.0255,                 1.0021,                 1.1281,                0.68697,                 0.5146,                0.60479,                0.49723,                 1.0726,                0.89982,                 1.1277,               0.005446,               0.005446,               0.005446
                     48,                 1.0087,                0.99167,                 1.1325,                0.64442,                0.53588,                0.60695,                0.49714,                 1.0698,                0.89837,                 1.1242,               0.005347,               0.005347,               0.005347
                     49,                 1.0091,                 0.9873,                  1.132,                0.67566,                0.53303,                0.61846,                0.50973,                 1.0665,                0.89547,                 1.1241,               0.005248,               0.005248,               0.005248
                     50,                 1.0047,                 0.9669,                 1.1234,                0.69376,                0.54226,                0.62352,                0.51299,                 1.0638,                0.88308,                 1.1201,               0.005149,               0.005149,               0.005149
                     51,                0.99407,                0.95303,                 1.1198,                 0.6557,                0.57755,                0.63227,                0.52131,                 1.0658,                0.87176,                 1.1224,                0.00505,                0.00505,                0.00505
                     52,                0.99384,                0.94699,                 1.1182,                0.66754,                  0.561,                0.63585,                0.52549,                 1.0641,                0.87034,                 1.1222,               0.004951,               0.004951,               0.004951
                     53,                0.99831,                 0.9437,                 1.1201,                0.65901,                0.57687,                 0.6436,                0.52903,                 1.0675,                0.86563,                 1.1225,               0.004852,               0.004852,               0.004852
                     54,                0.98782,                0.93275,                 1.1184,                 0.6498,                0.59183,                0.64283,                0.52897,                 1.0642,                0.86814,                 1.1202,               0.004753,               0.004753,               0.004753
                     55,                0.98988,                 0.9133,                 1.1203,                 0.6914,                 0.5747,                0.65402,                0.53961,                 1.0582,                0.85716,                 1.1169,               0.004654,               0.004654,               0.004654
                     56,                0.97366,                0.90575,                 1.1113,                0.72415,                0.56765,                0.65621,                0.54479,                 1.0619,                0.85595,                 1.1192,               0.004555,               0.004555,               0.004555
                     57,                0.96822,                0.89546,                 1.1076,                0.69999,                0.58825,                0.65712,                0.54611,                  1.061,                  0.854,                 1.1179,               0.004456,               0.004456,               0.004456
                     58,                0.97419,                 0.8945,                 1.1097,                0.69602,                0.58626,                0.65976,                0.54896,                 1.0607,                0.85113,                 1.1182,               0.004357,               0.004357,               0.004357
                     59,                0.96505,                 0.8726,                 1.1015,                0.66432,                0.59908,                0.65999,                0.55073,                 1.0567,                0.85297,                 1.1156,               0.004258,               0.004258,               0.004258
                     60,                0.96718,                0.85728,                 1.1037,                 0.6865,                 0.5965,                0.66079,                0.55144,                 1.0556,                0.85084,                  1.114,               0.004159,               0.004159,               0.004159
                     61,                0.96896,                0.86497,                 1.1046,                0.70161,                0.57647,                0.66247,                  0.554,                 1.0553,                0.84898,                 1.1135,                0.00406,                0.00406,                0.00406
                     62,                 0.9641,                0.85633,                 1.1022,                0.71591,                0.57948,                0.66419,                 0.5558,                 1.0558,                0.84386,                 1.1136,               0.003961,               0.003961,               0.003961
                     63,                0.94951,                0.83528,                 1.0911,                0.72591,                 0.5774,                0.66609,                0.55723,                 1.0536,                0.83939,                 1.1117,               0.003862,               0.003862,               0.003862
                     64,                0.94549,                0.82595,                  1.092,                0.69762,                0.59422,                0.66748,                0.55699,                 1.0515,                0.83771,                 1.1119,               0.003763,               0.003763,               0.003763
                     65,                0.94757,                0.82563,                 1.0929,                0.70393,                0.59016,                0.66948,                0.55919,                 1.0507,                0.83811,                 1.1122,               0.003664,               0.003664,               0.003664
                     66,                0.93369,                0.81069,                 1.0867,                0.68348,                0.59525,                0.67063,                0.56018,                 1.0486,                0.83861,                 1.1121,               0.003565,               0.003565,               0.003565
                     67,                0.93187,                0.81329,                 1.0907,                0.71026,                0.58471,                 0.6737,                0.56302,                 1.0468,                0.83584,                 1.1111,               0.003466,               0.003466,               0.003466
                     68,                0.93468,                0.80711,                 1.0865,                0.67347,                0.62035,                0.67574,                0.56569,                 1.0475,                0.83193,                 1.1113,               0.003367,               0.003367,               0.003367
                     69,                0.92477,                0.78545,                 1.0803,                0.66962,                0.61843,                0.67549,                0.56623,                 1.0462,                0.83025,                 1.1107,               0.003268,               0.003268,               0.003268
                     70,                0.92624,                0.78085,                 1.0841,                0.66562,                0.61543,                0.67588,                0.56696,                 1.0459,                0.83101,                 1.1108,               0.003169,               0.003169,               0.003169
                     71,                0.92199,                0.77298,                  1.078,                0.66916,                0.62344,                0.67948,                0.56764,                 1.0458,                0.82959,                 1.1106,                0.00307,                0.00307,                0.00307
                     72,                0.91162,                0.77405,                 1.0782,                0.66338,                0.62594,                0.68115,                0.56909,                  1.046,                0.82821,                 1.1113,               0.002971,               0.002971,               0.002971
                     73,                0.90736,                0.75743,                 1.0739,                0.66545,                0.62361,                0.68134,                0.56877,                 1.0461,                0.82779,                 1.1108,               0.002872,               0.002872,               0.002872
                     74,                0.90937,                 0.7497,                 1.0744,                0.65549,                0.63033,                0.68067,                0.56833,                 1.0461,                0.82687,                 1.1111,               0.002773,               0.002773,               0.002773
                     75,                 0.9106,                0.74701,                 1.0771,                0.67322,                 0.6188,                0.68148,                0.56933,                 1.0469,                0.82537,                 1.1121,               0.002674,               0.002674,               0.002674
                     76,                0.90297,                 0.7399,                 1.0695,                0.67184,                0.62495,                0.68223,                0.56973,                 1.0481,                0.82464,                  1.113,               0.002575,               0.002575,               0.002575
                     77,                 0.8904,                0.73231,                 1.0668,                0.67789,                0.62207,                0.68303,                0.57071,                 1.0486,                0.82244,                 1.1134,               0.002476,               0.002476,               0.002476
                     78,                0.89759,                0.72281,                 1.0631,                0.67275,                0.62584,                0.68409,                0.57113,                 1.0486,                0.81977,                  1.114,               0.002377,               0.002377,               0.002377
                     79,                0.89157,                 0.7128,                 1.0622,                 0.6693,                0.63645,                0.68544,                 0.5713,                  1.049,                0.81871,                  1.115,               0.002278,               0.002278,               0.002278
                     80,                 0.8802,                0.71481,                 1.0589,                0.66823,                0.64083,                0.68709,                0.57292,                 1.0487,                0.81727,                 1.1154,               0.002179,               0.002179,               0.002179
                     81,                0.88448,                0.70188,                 1.0618,                0.66636,                0.64631,                 0.6885,                0.57447,                 1.0496,                0.81558,                 1.1162,                0.00208,                0.00208,                0.00208
                     82,                0.87435,                0.69243,                 1.0511,                0.67867,                0.63637,                 0.6887,                0.57525,                 1.0497,                0.81372,                 1.1165,               0.001981,               0.001981,               0.001981
                     83,                0.87249,                0.69498,                 1.0566,                0.68265,                0.63652,                0.68898,                0.57622,                   1.05,                0.81299,                 1.1166,               0.001882,               0.001882,               0.001882
                     84,                0.87387,                0.68608,                 1.0531,                0.69261,                0.63209,                0.68951,                0.57665,                 1.0498,                0.81179,                 1.1165,               0.001783,               0.001783,               0.001783
                     85,                0.86421,                0.67849,                 1.0507,                0.69238,                0.63494,                0.69084,                0.57798,                 1.0496,                   0.81,                 1.1161,               0.001684,               0.001684,               0.001684
                     86,                0.85718,                0.66695,                 1.0465,                0.69569,                0.63352,                0.69238,                0.57965,                 1.0492,                0.80857,                 1.1161,               0.001585,               0.001585,               0.001585
