                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                  0.585,                 1.0875,                 1.7197,                0.81243,                0.70109,                0.78837,                0.67965,                0.73836,                 1.3206,                  1.859,              0.0031195,              0.0031195,              0.0031195
                    141,                0.59072,                 1.0917,                 1.7321,                0.81293,                0.70163,                0.78906,                0.68042,                0.73813,                 1.3192,                 1.8589,                0.00307,                0.00307,                0.00307
                    142,                0.58654,                 1.0802,                 1.7288,                0.81449,                0.70125,                0.78998,                0.68123,                0.73861,                 1.3192,                 1.8599,              0.0030205,              0.0030205,              0.0030205
                    143,                0.57967,                 1.0637,                 1.7196,                0.80182,                0.71013,                0.79069,                0.68185,                0.73851,                 1.3182,                 1.8604,               0.002971,               0.002971,               0.002971
                    144,                0.58081,                 1.0621,                 1.7188,                0.81003,                0.70556,                0.79056,                0.68199,                0.73884,                 1.3164,                 1.8617,              0.0029215,              0.0029215,              0.0029215
                    145,                0.58269,                 1.0647,                 1.7222,                0.81745,                0.70319,                0.79091,                0.68267,                0.73884,                 1.3151,                 1.8623,               0.002872,               0.002872,               0.002872
                    146,                 0.5802,                  1.056,                 1.7201,                 0.8221,                 0.6996,                0.79098,                0.68303,                0.73898,                 1.3141,                 1.8626,              0.0028225,              0.0028225,              0.0028225
                    147,                0.57713,                 1.0576,                 1.7119,                 0.8231,                0.70002,                0.79081,                 0.6829,                0.73882,                 1.3134,                 1.8624,               0.002773,               0.002773,               0.002773
                    148,                0.58009,                 1.0566,                 1.7161,                0.82419,                0.69997,                 0.7911,                0.68329,                0.73858,                  1.314,                 1.8628,              0.0027235,              0.0027235,              0.0027235
                    149,                0.57495,                 1.0349,                 1.7134,                0.82086,                0.70222,                0.79136,                0.68409,                0.73889,                 1.3138,                 1.8633,               0.002674,               0.002674,               0.002674
                    150,                0.57055,                 1.0312,                 1.7082,                0.81876,                0.70474,                0.79093,                 0.6835,                0.73889,                  1.313,                 1.8635,              0.0026245,              0.0026245,              0.0026245
                    151,                0.57243,                 1.0285,                 1.7077,                0.81662,                0.70547,                0.79107,                0.68367,                0.73909,                 1.3134,                 1.8637,               0.002575,               0.002575,               0.002575
                    152,                0.56365,                 1.0192,                 1.7051,                0.81519,                0.70607,                0.79091,                0.68383,                0.73882,                 1.3132,                 1.8638,              0.0025255,              0.0025255,              0.0025255
                    153,                0.56366,                  1.011,                 1.7011,                0.81517,                0.70735,                0.79162,                0.68414,                0.73862,                  1.312,                 1.8642,               0.002476,               0.002476,               0.002476
                    154,                0.56627,                 1.0168,                 1.7004,                0.81407,                 0.7069,                0.79181,                0.68404,                0.73887,                 1.3119,                 1.8642,              0.0024265,              0.0024265,              0.0024265
                    155,                 0.5611,                0.99746,                 1.7013,                0.82071,                0.70408,                0.79151,                0.68341,                0.73884,                 1.3114,                 1.8643,               0.002377,               0.002377,               0.002377
                    156,                0.55807,                 1.0028,                 1.6952,                0.82263,                0.70237,                0.79208,                0.68382,                0.73905,                 1.3104,                  1.865,              0.0023275,              0.0023275,              0.0023275
                    157,                0.56148,                 1.0112,                  1.705,                0.82251,                0.70221,                0.79161,                0.68336,                0.73893,                 1.3102,                 1.8656,               0.002278,               0.002278,               0.002278
                    158,                0.55581,                0.99633,                 1.6984,                0.82065,                0.70299,                0.79188,                0.68341,                0.73897,                 1.3101,                  1.865,              0.0022285,              0.0022285,              0.0022285
                    159,                0.55355,                0.98352,                 1.6891,                0.82262,                0.70332,                0.79182,                0.68305,                0.73905,                 1.3104,                 1.8657,               0.002179,               0.002179,               0.002179
                    160,                0.55525,                 0.9814,                 1.6886,                0.82334,                0.70499,                0.79198,                0.68323,                0.73925,                 1.3094,                 1.8662,              0.0021295,              0.0021295,              0.0021295
