                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.313,                 5.5608,                 3.8991,                0.00365,                0.09851,                0.00249,                0.00061,                 2.9628,                 30.167,                  3.468,               0.070044,              0.0033284,              0.0033284
                      1,                 2.5082,                  4.304,                 2.8274,                0.44491,                0.03657,                0.01654,                0.00632,                 2.1913,                 3.4177,                  2.368,               0.039978,              0.0065958,              0.0065958
                      2,                 1.9795,                 3.6372,                 2.1999,                0.56062,                 0.0518,                0.03077,                0.01508,                 1.8998,                 3.1046,                 2.0669,              0.0098462,              0.0097972,              0.0097972
